date,admin_level_1,state,tests_increase,tests_total,tests_pending,cases_positive_increase,cases_positive_total,cases_negative_increase,cases_negative_total,deaths_increase,deaths_total,recovered_total,hospitilzations_current,hospitalizations_increase,hospitalizations_total,icu_current,icu_total,ventilator_current,ventilator_total,last_checked_ts
2021-03-07,56,56,1170059,363825123,11808,41835,28756489,131835,74582825,842,515151,,40199,726,776361,8134,45475,2802,4281,2021-03-07 23:59:59.000000 UTC
2021-03-06,56,56,1430992,362655064,11783,60015,28714654,143835,74450990,1680,514309,,41401,503,775635,8409,45453,2811,4280,2021-03-06 23:59:59.000000 UTC
2021-03-05,56,56,1744417,361224072,12213,68787,28654639,271917,74307155,2221,512629,,42541,2781,775132,8634,45373,2889,4275,2021-03-05 23:59:59.000000 UTC
2021-03-04,56,56,1590984,359479655,12405,65487,28585852,177957,74035238,1743,510408,,44172,1530,772351,8970,45293,2973,4267,2021-03-04 23:59:59.000000 UTC
2021-03-03,56,56,1406795,357888671,11778,66836,28520365,267001,73857281,2449,508665,,45462,2172,770821,9359,45214,3094,4260,2021-03-03 23:59:59.000000 UTC
2021-03-02,56,56,1343519,356481876,11196,54248,28453529,255779,73590280,1728,506216,,46388,1871,768649,9465,45084,3169,4257,2021-03-02 23:59:59.000000 UTC
2021-02-26,56,56,1803309,350920316,11945,74857,28225595,276829,72807735,2141,500349,,51112,1868,763447,10466,44791,3466,4247,2021-02-26 23:59:59.000000 UTC
2021-02-25,56,56,1826144,349117007,11813,75565,28150738,272209,72530906,3138,498208,,52669,2047,761579,10846,44636,3567,4240,2021-02-25 23:59:59.000000 UTC
2021-02-24,56,56,1450666,347290863,12548,73258,28075173,245318,72258697,2447,495070,,54118,2172,759532,11026,44534,3685,4227,2021-02-24 23:59:59.000000 UTC
2021-02-23,56,56,1193835,345840197,11200,69105,28001915,225267,72013379,2241,492623,,55058,2164,757360,11272,44420,3755,4214,2021-02-23 23:59:59.000000 UTC
